name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,detail_link,source_link,source_name
Poblano Pepper,annuum,mild,North America,Mexico,1000.0,1500,-8.0,-2.0,http://www.pepperscale.com/poblano-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Guindilla Pepper,annuum,mild,Europe,Spain,1000.0,2000,-8.0,0.0,http://www.pepperscale.com/guindilla-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chilaca Pepper,annuum,mild,North America,Mexico,1000.0,2500,-8.0,0.0,http://www.pepperscale.com/chilaca-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pasilla Pepper,annuum,mild,North America,Mexico,1000.0,2500,-8.0,0.0,http://www.pepperscale.com/pasilla-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cascabel Pepper,annuum,mild,North America,Mexico,1000.0,3000,-8.0,0.0,http://www.pepperscale.com/cascabel-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Hatch Peppers,annuum,medium,North America,United States,1000.0,8000,-3.0,0.0,http://www.pepperscale.com/hatch-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
NuMex Centennial,annuum,medium,North America,United States,1000.0,5000,-5.0,0.0,http://www.pepperscale.com/numex-centennial/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Kashmiri Chili,annuum,mild,Asia,India,1000.0,2000,-8.0,0.0,https://www.pepperscale.com/kashmiri-chili/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Sangria Pepper,annuum,medium,,,1000.0,5000,0.0,-8.0,https://www.pepperscale.com/sangria-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Peppadew Pepper,baccatum,mild,Africa,Africa,1100.0,1200,-7.0,-2.0,http://www.pepperscale.com/peppadew-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Rocotillo Pepper,baccatum,mild,South America,Peru,1500.0,2500,-5.0,0.0,http://www.pepperscale.com/rocotillo-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Mulato Pepper,annuum,medium,North America,Mexico,2500.0,3000,-3.0,0.0,http://www.pepperscale.com/mulato-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cherry Bomb Pepper,annuum,medium,North America,United States,2500.0,5000,0.0,0.0,http://www.pepperscale.com/cherry-bomb-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cowhorn Pepper,annuum,medium,South America,South America,2500.0,5000,0.0,0.0,http://www.pepperscale.com/cowhorn-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Guajillo Pepper,annuum,medium,North America,Mexico,2500.0,5000,0.0,0.0,http://www.pepperscale.com/guajillo-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Jalapeño Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/jalapeno-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Purple Jalapeño Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/purple-jalapeno-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chipotle Pepper,annuum,medium,North America,Mexico,2500.0,8000,0.0,0.0,http://www.pepperscale.com/chipotle-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Fresno Pepper,annuum,medium,North America,United States,2500.0,10000,0.0,0.0,http://www.pepperscale.com/fresno-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
NuMex Big Jim,annuum,medium,North America,United States,2500.0,3000,0.0,-3.0,https://www.pepperscale.com/numex-big-jim/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chimayo Pepper,annuum,medium,North America,United States,4000.0,6000,0.0,0.0,http://www.pepperscale.com/chimayo-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Jalafuego Pepper,annuum,medium,North America,Mexico,4000.0,6000,0.0,0.0,https://www.pepperscale.com/jalafuego-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Sandia Pepper,annuum,medium,North America,United States,5000.0,7000,0.0,0.0,http://www.pepperscale.com/sandia-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Puya Pepper,annuum,medium,North America,Mexico,5000.0,8000,0.0,0.0,http://www.pepperscale.com/puya-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Hungarian Wax Pepper,annuum,medium,Europe,Hungary,5000.0,10000,0.0,4.0,http://www.pepperscale.com/hungarian-wax-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Black Hungarian Pepper,annuum,medium,Europe,Hungary,5000.0,10000,0.0,4.0,http://www.pepperscale.com/black-hungarian-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Bishop&#039;s Crown Pepper,baccatum,medium,South America,South America,5000.0,30000,0.0,12.0,http://www.pepperscale.com/bishops-crown-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Bulgarian Carrot Pepper,annuum,medium,Europe,Hungary,5000.0,30000,0.0,12.0,http://www.pepperscale.com/bulgarian-carrot-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Fish Pepper,annuum,medium,North America,United States,5000.0,30000,0.0,12.0,http://www.pepperscale.com/fish-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Hinkelhatz Pepper,annuum,medium,North America,United States,5000.0,30000,0.0,16.0,https://www.pepperscale.com/hinkelhatz-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Count Dracula Pepper,annuum,medium,,,5000.0,30000,0.0,16.0,https://www.pepperscale.com/count-dracula-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Royal Black Pepper,annuum,medium,,,5000.0,30000,0.0,16.0,https://www.pepperscale.com/royal-black-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Black Prince Pepper,annuum,medium,North America,Mexico,5000.0,30000,0.0,16.0,https://www.pepperscale.com/black-prince-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aleppo Pepper,annuum,medium,Middle East,Syria,10000.0,10000,0.0,4.0,http://www.pepperscale.com/aleppo-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Peter Pepper,annuum,medium,North America,United States,10000.0,23000,0.0,9.0,http://www.pepperscale.com/peter-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Serrano Pepper,annuum,medium,North America,United States,10000.0,23000,0.0,9.0,http://www.pepperscale.com/serrano-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Sport Peppers,annuum,medium,North America,Mexico,10000.0,23000,0.0,9.0,http://www.pepperscale.com/sport-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Bolivian Rainbow Pepper,annuum,medium,South America,Bolivia,10000.0,30000,4.0,12.0,http://www.pepperscale.com/bolivian-rainbow-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Black Pearl Pepper,annuum,medium,North America,United States,10000.0,30000,4.0,12.0,http://www.pepperscale.com/black-pearl-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Manzano Pepper,pubescens,medium,South America,South America,12000.0,30000,2.0,12.0,http://www.pepperscale.com/manzano-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Japones Pepper,annuum,medium,Asia,Japan,15000.0,30000,2.0,12.0,http://www.pepperscale.com/japones-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Lemon Drop Pepper,baccatum,medium,South America,Peru,15000.0,30000,2.0,12.0,http://www.pepperscale.com/lemon-drop-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chile De Àrbol,annuum,medium,North America,Mexico,15000.0,30000,2.0,12.0,http://www.pepperscale.com/chile-de-arbol,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Black Cobra Pepper,annuum,medium,South America,South America,20000.0,40000,3.0,16.0,http://www.pepperscale.com/black-cobra-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Jwala Pepper,annuum,medium,Asia,India,20000.0,30000,3.0,12.0,http://www.pepperscale.com/jwala-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
NuMex Twilight,annuum,medium,North America,United States,30000.0,50000,4.0,20.0,http://www.pepperscale.com/numex-twilight,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Amarillo,baccatum,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-amarillo,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Charapita,chinense,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-charapita,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Omnicolor,baccatum,medium,South America,Peru,30000.0,50000,4.0,20.0,http://www.pepperscale.com/aji-omnicolor,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Tabasco Pepper,frutescens,medium,Central America and the Caribbean,Costa Rica,30000.0,50000,4.0,20.0,http://www.pepperscale.com/tabasco-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cayenne Pepper,annuum,medium,South America,French Guyana,30000.0,50000,4.0,20.0,http://www.pepperscale.com/cayenne-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Rocoto Pepper,pubescens,medium,South America,South America,30000.0,100000,4.0,40.0,http://www.pepperscale.com/rocoto-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Rooster Spur Pepper,annuum,medium,North America,United States,30000.0,50000,4.0,20.0,https://www.pepperscale.com/rooster-spur-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aurora Pepper,annuum,medium,North America,Mexico,30000.0,50000,4.0,20.0,https://www.pepperscale.com/aurora-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Explosive Ember Pepper,annuum,medium,,,30000.0,50000,4.0,20.0,https://www.pepperscale.com/explosive-ember-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Filius Blue Pepper,annuum,medium,North America,Mexico,30000.0,50000,4.0,20.0,https://www.pepperscale.com/filius-blue-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Super Chili Pepper,annuum,medium,North America,United States,40000.0,50000,5.0,20.0,http://www.pepperscale.com/super-chili-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pequin Pepper,annuum,medium,North America,Mexico,40000.0,60000,5.0,24.0,http://www.pepperscale.com/pequin-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Tien Tsin Pepper,annuum,medium,Asia,China,50000.0,75000,6.0,30.0,http://www.pepperscale.com/tien-tsin-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Malagueta Pepper,frutescens,extra hot,South America,Brazil,50000.0,100000,6.0,40.0,http://www.pepperscale.com/malagueta-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chiltepin Pepper,annuum,extra hot,North America,United States,50000.0,100000,6.0,40.0,http://www.pepperscale.com/chiltepin-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Thai Pepper,annuum,extra hot,Asia,Thailand,50000.0,100000,6.0,40.0,http://www.pepperscale.com/thai-peppers,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Byadgi Chili,annuum,extra hot,Asia,India,50000.0,100000,6.0,40.0,https://www.pepperscale.com/byadgi-chili/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Dundicut Pepper,annuum,extra hot,Asia,Pakistan,55000.0,65000,7.0,26.0,http://www.pepperscale.com/dundicut-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Cheiro Roxa,chinense,extra hot,South America,Brazil,60000.0,80000,8.0,32.0,https://www.pepperscale.com/cheiro-roxa/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Prairie Fire Pepper,annuum,extra hot,North America,Mexico,70000.0,80000,9.0,32.0,http://www.pepperscale.com/prairie-fire-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Charleston Hot Pepper,annuum,extra hot,North America,United States,70000.0,100000,9.0,40.0,http://www.pepperscale.com/charleston-hot-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Siling Labuyo,frutescens,extra hot,Asia,Phillipines,80000.0,100000,10.0,40.0,https://www.pepperscale.com/siling-labuyo/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Apache Pepper,annuum,extra hot,,,80000.0,100000,10.0,40.0,https://www.pepperscale.com/apache-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Datil Pepper,chinense,extra hot,North America,United States,100000.0,300000,12.0,120.0,http://www.pepperscale.com/datil-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Wiri Wiri Pepper,chinense,extra hot,South America,South America,100000.0,350000,12.0,140.0,http://www.pepperscale.com/wiri-wiri-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Scotch Bonnet Pepper,chinense,extra hot,Central America and the Caribbean,Caribbean,100000.0,350000,12.0,140.0,http://www.pepperscale.com/scotch-bonnet-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Habanero Pepper,chinense,extra hot,South America,South America,100000.0,350000,12.0,140.0,http://www.pepperscale.com/habanero-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Peruvian White Habanero,chinense,extra hot,South America,Peru,100000.0,350000,12.0,140.0,http://www.pepperscale.com/peruvian-white-habanero,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Goat Pepper,chinense,extra hot,Central America and the Caribbean,Caribbean,100000.0,350000,12.0,140.0,http://www.pepperscale.com/goat-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Roatan Pumpkin Habanero,chinense,extra hot,Central America and the Caribbean,Caribbean,100000.0,500000,12.0,200.0,https://www.pepperscale.com/roatan-pumpkin-habanero/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Madame Jeanette Pepper,chinense,extra hot,South America,South America,125000.0,325000,15.0,130.0,http://www.pepperscale.com/madame-jeanette-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Fatalii Pepper,chinense,extra hot,Africa,Africa,125000.0,400000,14.0,160.0,http://www.pepperscale.com/fatalii-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Devil’s Tongue Pepper,chinense,extra hot,North America,United States,125000.0,325000,16.0,130.0,https://www.pepperscale.com/devils-tongue-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Aji Chombo,chinense,extra hot,Central America and the Caribbean,Panama,150000.0,350000,18.0,140.0,http://www.pepperscale.com/aji-chombo/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Caribbean Red Habanero,chinense,super hot,North America,Mexico,300000.0,445000,35.0,178.0,http://www.pepperscale.com/caribbean-red-habanero,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Red Savina Habanero,chinense,super hot,North America,United States,350000.0,577000,44.0,231.0,http://www.pepperscale.com/red-savina-habanero,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Chocolate Habanero,chinense,super hot,Central America and the Caribbean,Jamaica,425000.0,577000,53.0,231.0,http://www.pepperscale.com/chocolate-habanero,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Bhut Jolokia Chocolate,chinense,super hot,Asia,India,800000.0,1001304,100.0,400.0,http://www.pepperscale.com/bhut-jolokia-chocolate,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Trinidad Scorpion “Butch T”,chinense,super hot,Australia and Oceania,Australia,800000.0,1463700,100.0,585.0,https://www.pepperscale.com/trinidad-scorpion-butch-t/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Primo,chinense,super hot,North America,United States,800000.0,1268250,100.0,507.0,https://www.pepperscale.com/7-pot-primo/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Jonah,chinense,super hot,Central America and the Caribbean,Trinidad,800000.0,1200000,100.0,480.0,https://www.pepperscale.com/7-pot-jonah/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Bubblegum,chinense,super hot,Europe,United Kingdom,850000.0,1000000,106.0,400.0,https://www.pepperscale.com/7-pot-bubblegum/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Ghost Pepper,chinense,super hot,Asia,India,855000.0,1041427,107.0,417.0,http://www.pepperscale.com/ghost-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Naga Viper,chinense,super hot,Europe,United Kingdom,900000.0,1382118,113.0,553.0,https://www.pepperscale.com/naga-viper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Douglah,chinense,super hot,Central America and the Caribbean,Trinidad,923889.0,1853986,109.0,742.0,https://www.pepperscale.com/7-pot-douglah/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Naga Morich,chinense,super hot,Asia,India,1000000.0,1500000,125.0,600.0,http://www.pepperscale.com/naga-morich,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Dorset Naga,chinense,super hot,Europe,United Kingdom,1000000.0,1598227,125.0,639.0,http://www.pepperscale.com/dorset-naga,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Trinidad 7 Pot Pepper,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1200000,125.0,480.0,https://www.pepperscale.com/7-pot-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Brain Strain,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1350000,125.0,540.0,https://www.pepperscale.com/7-pot-brain-strain/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
7 Pot Barrackpore,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1300000,125.0,520.0,https://www.pepperscale.com/7-pot-barrackpore/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Infinity Pepper,chinense,super hot,Europe,United Kingdom,1067286.0,1250000,133.0,500.0,http://www.pepperscale.com/infinity-pepper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Trinidad Moruga Scorpion,chinense,super hot,Central America and the Caribbean,Trinidad,1200000.0,2000000,150.0,800.0,http://www.pepperscale.com/trinidad-moruga-scorpion,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Trinidad Scorpion Chocolate,chinense,super hot,Central America and the Caribbean,Trinidad,1200000.0,2000000,150.0,800.0,http://www.pepperscale.com/trinidad-scorpion-chocolate,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Carolina Reaper,chinense,super hot,North America,United States,1400000.0,2200000,175.0,880.0,http://www.pepperscale.com/carolina-reaper,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Komodo Dragon Pepper,chinense,super hot,Europe,United Kingdom,1400000.0,2200000,175.0,880.0,https://www.pepperscale.com/komodo-dragon-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pepper Spray,,super hot,,,2000000.0,5300000,250.0,2120.0,http://www.pepperscale.com/pepper-spray,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Pure Capsaicin,,super hot,,,15000000.0,16000000,1875.0,6400.0,http://www.pepperscale.com/capsaicin,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Dragon’s Breath Pepper,chinense,super hot,Europe,United Kingdom,,2480000,310.0,992.0,https://www.pepperscale.com/dragons-breath-pepper/,https://www.pepperscale.com/hot-pepper-list/,PepperScale
Resiniferatoxin,,,,,,16000000000,,,http://pepperheadsforlife.com/resiniferatoxin/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tinyatoxin,,,,,,5300000000,,,http://pepperheadsforlife.com/extract-scale/tinyatoxin/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pure Capsaicin,,,,,,16000000,,,http://pepperheadsforlife.com/pure-capsaicin-16000000-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dihydrocapsaicin,,,,,,15000000,,,http://pepperheadsforlife.com/extract-scale/dihydrocapsaicin/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Nonivamide,,,,,,9200000,,,http://pepperheadsforlife.com/extract-scale/nonivamide/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Nordihydrocapsaicin,,,,,,9100000,,,http://pepperheadsforlife.com/the-scoville-scale/nordihydrocapsaicin/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Homodihydrocapsaicin,,,,,,8600000,,,http://pepperheadsforlife.com/pepper-extract-scale/homodihydrocapsaicin/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Police Grade Pepper Spray,,,,,,5300000,,,http://pepperheadsforlife.com/pepper-extract-scale/police-grade-pepper-spray/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Carolina Reaper,,,,,,2200000,,,http://pepperheadsforlife.com/carolina-reaper-scoville-heat-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Common Pepper Spray,,,,,,2000000,,,http://pepperheadsforlife.com/pepper-extract-scale/common-pepper-spray/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Trinidad Moruga Scorpion,,,,,,2009231,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Douglah,,,,,,1853396,,,http://pepperheadsforlife.com/the-scoville-scale/7-pot-douglah/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Trinidad Scorpion Butch T,,,,,,1463700,,,http://pepperheadsforlife.com/trinidad-scorpion-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Naga Viper Pepper,,,,,,1382118,,,http://pepperheadsforlife.com/naga-viper-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Barrackpore,,,,,,1300000,,,http://pepperheadsforlife.com/7-pot-barrackpore/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Jonah,,,,,,1200000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Primo,,,,,,1200000,,,http://pepperheadsforlife.com/7-pot-primo/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
New Mexico Scorpion,,,,,,1191595,,,http://pepperheadsforlife.com/the-scoville-scale/new-mexico-scorpion-pepper-2/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Infinity Chili,,,,,,1176182,,,http://pepperheadsforlife.com/the-scoville-scale/infinity-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
