name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,link,source_name
Trinidad Scorpion “Butch T”,chinense,super hot,Australia and Oceania,Australia,800000.0,1463700,100.0,585.0,https://www.pepperscale.com/trinidad-scorpion-butch-t/,PepperScale
7 Pot Primo,chinense,super hot,North America,United States,800000.0,1268250,100.0,507.0,https://www.pepperscale.com/7-pot-primo/,PepperScale
7 Pot Jonah,chinense,super hot,Central America and the Caribbean,Trinidad,800000.0,1200000,100.0,480.0,https://www.pepperscale.com/7-pot-jonah/,PepperScale
7 Pot Bubblegum,chinense,super hot,Europe,United Kingdom,850000.0,1000000,106.0,400.0,https://www.pepperscale.com/7-pot-bubblegum/,PepperScale
Ghost Pepper,chinense,super hot,Asia,India,855000.0,1041427,107.0,417.0,http://www.pepperscale.com/ghost-pepper,PepperScale
Naga Viper,chinense,super hot,Europe,United Kingdom,900000.0,1382118,113.0,553.0,https://www.pepperscale.com/naga-viper/,PepperScale
7 Pot Douglah,chinense,super hot,Central America and the Caribbean,Trinidad,923889.0,1853986,109.0,742.0,https://www.pepperscale.com/7-pot-douglah/,PepperScale
Naga Morich,chinense,super hot,Asia,India,1000000.0,1500000,125.0,600.0,http://www.pepperscale.com/naga-morich,PepperScale
Dorset Naga,chinense,super hot,Europe,United Kingdom,1000000.0,1598227,125.0,639.0,http://www.pepperscale.com/dorset-naga,PepperScale
Trinidad 7 Pot Pepper,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1200000,125.0,480.0,https://www.pepperscale.com/7-pot-pepper/,PepperScale
7 Pot Brain Strain,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1350000,125.0,540.0,https://www.pepperscale.com/7-pot-brain-strain/,PepperScale
7 Pot Barrackpore,chinense,super hot,Central America and the Caribbean,Trinidad,1000000.0,1300000,125.0,520.0,https://www.pepperscale.com/7-pot-barrackpore/,PepperScale
Infinity Pepper,chinense,super hot,Europe,United Kingdom,1067286.0,1250000,133.0,500.0,http://www.pepperscale.com/infinity-pepper,PepperScale
Trinidad Moruga Scorpion,chinense,super hot,Central America and the Caribbean,Trinidad,1200000.0,2000000,150.0,800.0,http://www.pepperscale.com/trinidad-moruga-scorpion,PepperScale
Trinidad Scorpion Chocolate,chinense,super hot,Central America and the Caribbean,Trinidad,1200000.0,2000000,150.0,800.0,http://www.pepperscale.com/trinidad-scorpion-chocolate,PepperScale
Carolina Reaper,chinense,super hot,North America,United States,1400000.0,2200000,175.0,880.0,http://www.pepperscale.com/carolina-reaper,PepperScale
Komodo Dragon Pepper,chinense,super hot,Europe,United Kingdom,1400000.0,2200000,175.0,880.0,https://www.pepperscale.com/komodo-dragon-pepper/,PepperScale
Pepper Spray,,super hot,,,2000000.0,5300000,250.0,2120.0,http://www.pepperscale.com/pepper-spray,PepperScale
Pure Capsaicin,,super hot,,,15000000.0,16000000,1875.0,6400.0,http://www.pepperscale.com/capsaicin,PepperScale
Dragon’s Breath Pepper,chinense,super hot,Europe,United Kingdom,,2480000,310.0,992.0,https://www.pepperscale.com/dragons-breath-pepper/,PepperScale
Dragon's Breath Pepper,,,,United Kingdom,,2480000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Carolina Reaper Pepper,,,,United States,1569300.0,2200000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Trinidad Scorpion Butch T Pepper,,,,Australia,,1463700,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Naga Viper Pepper,,,,United Kingdom,,1382118,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Naga Bhut Jolokia Pepper,,,,,,1041427,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Dorset Naga Pepper,,,,,,923000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Naga Jolokia Pepper,,,,,,855000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Red Savina Habanero Pepper,,,,,350000.0,577000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Habanero Pepper,,,,,100000.0,350000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Scotch Bonnet Pepper,,,,,100000.0,325000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Birds Eye Pepper,,,,,100000.0,225000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Jamaican Hot Pepper,,,,,100000.0,200000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Carolina Cayenne Pepper,,,,,100000.0,125000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
